id_delito,generico,subgenerico,articulo,des_articulo
195,CONTRA LA VIDA/EL CUERPO Y LA SALUD,LESIONES,121-A,"Formas agravadas. Lesiones graves - víctima menor de edad, adulto mayor o persona con discapadidad"
196,CONTRA LA VIDA/EL CUERPO Y LA SALUD,LESIONES,121-B,Lesiones graves por violencia contra las mujeres e integrantes del grupo familiar
197,CONTRA LA VIDA/EL CUERPO Y LA SALUD,LESIONES,122-A,Formas agravadas. Lesiones leves cuando la víctima es menor
198,CONTRA LA VIDA/EL CUERPO Y LA SALUD,LESIONES,122-B,Agresiones en contra de las mujeres o integrantes del grupo familiar
199,CONTRA LA VIDA/EL CUERPO Y LA SALUD,LESIONES,124-A,Daños al Concebido
200,CONTRA LA VIDA/EL CUERPO Y LA SALUD,LESIONES,S/Art,LESIONES
201,CONTRA LA VOLUNTAD POPULAR,DELITOS CONTRA EL DERECHO AL SUFRAGIO,354,Perturbación o impedimento de proceso electoral
202,CONTRA LA VOLUNTAD POPULAR,DELITOS CONTRA EL DERECHO AL SUFRAGIO,357,Suplantación de votante
203,CONTRA LA VOLUNTAD POPULAR,DELITOS CONTRA EL DERECHO AL SUFRAGIO,S/Art,DELITOS CONTRA EL DERECHO DE SUFRAGIO
204,CONTRA LOS DERECHOS INTELECTUALES,CONTRA LA PROPIEDAD INDUSTRIAL,223,Uso o venta no autorizada de diseño o modelo industrial
205,CONTRA LOS DERECHOS INTELECTUALES,CONTRA LA PROPIEDAD INDUSTRIAL,S/Art,DELITOS CONTRA LA PROPIEDAD INDUSTRIAL
206,CONTRA LOS DERECHOS INTELECTUALES,CONTRA LOS DERECHOS DE AUTOR Y CONEXOS,217,"Reproducción, difusión, distribución y circulación de la obra sin la autorización del autor"
207,CONTRA LOS DERECHOS INTELECTUALES,CONTRA LOS DERECHOS DE AUTOR Y CONEXOS,S/Art,DELITOS CONTRA LOS DERECHOS DE AUTOR Y CONEXOS
208,CONTRA LOS PODERES DEL ESTADO Y ORDEN CONSTITUCIONAL,"REBELION , SEDICION Y MOTIN",348,Motín
209,D.LEG 813. LEY PENAL TRIBUTARIA,DEFRAUDACION TRIBUTARIA,5-B,Defraudación tributaria (D.L. 813)
210,D.LEG. 1106 LAVADO DE ACTIVOS,LAVADO DE ACTIVOS,S/Art,LAVADO DE ACTIVOS (D.L. 1106)
211,DELITOS ADUANEROS (LEY 28008),CONTRABANDO (D.ADUAN.),2,Modalidades de contrabando
